Region,City/Destination,Title,Description,Time
1. Venice,Venice,Cantine del Vino già Schiavi,"(Dorsoduro) Traditional cicchetti. Try the whipped cod.",45 mins
1. Venice,Venice,Osteria Enoteca San Marco,High quality in a refined setting.,2 hours
1. Venice,Venice,Ristorante Ca' Dolfin,(Cannaregio) Authentic local favorite for dinner.,2 hours
1. Venice,Venice,St. Mark's Basilica,Pre-booked timed entry is essential.,1 hour
1. Venice,Venice,Cannaregio Walk,From Campo San Leonardo along Fondamenta dei Ormesini.,1.5 hours
1. Venice,Burano Island,Burano Island,Take the vaporetto to visit the Lace Museum.,4 hours (inc. boat)
2. Florence,Florence,Trattoria Mario,Classic Tuscan near the Central Market.,1.5 hours
2. Florence,Florence,La Ménagère,"Trendy combo of a restaurant, flower shop, and café.",1.5 hours
2. Florence,Florence,All'Antico Vinaio,Legendary massive sandwiches.,45 mins
2. Florence,Florence,Accademia Gallery,Home to Michelangelo's David.,1.5 hours
2. Florence,Florence,Duomo Dome Climb,For the best panoramic city views.,1.5 hours
2. Florence,Florence,Oltrarno Wandering,Explore the Santo Spirito artisan shops.,2.5 hours
3. Genoa,Genoa,Trattoria Ugo,Authentic Genovese dishes and world-class pesto.,1.5 hours
3. Genoa,Genoa,Sà Pesta,Historic spot for Farinata and savory pies.,1 hour
3. Genoa,Genoa,The 'Caruggi',Getting lost in the medieval alleyways.,3–4 hours
3. Genoa,Genoa,Via Garibaldi,Visit the Renaissance Palazzi dei Rolli.,2 hours
3. Genoa,Genoa,Boccadasse,Colorful fishing village at the end of the promenade.,2 hours
4. Turin,Turin,Ristorante Consorzio,High-quality Piedmontese "slow food".,2 hours
4. Turin,Turin,Caffè Torino,"Try the Bicerin (espresso, chocolate, and cream).",45 mins
4. Turin,Turin,Egyptian Museum,Largest collection outside Cairo.,3 hours
4. Turin,Turin,Mole Antonelliana,Glass elevator for views of the city and Alps.,2 hours
4. Turin,Turin,The Royal Palace,Explore the apartments and Armoury.,2 hours
5. Milan,Milan,Ratana,Modern Milanese (famous for Saffron Risotto).,2 hours
5. Milan,Milan,Luini,Legendary Panzerotti near the Duomo.,20 mins
5. Milan,Milan,Duomo Rooftop,Walking among the spires and statues.,2 hours
5. Milan,Milan,Navigli District,Canal-side walk best for aperitivo.,2 hours
6. Lake Como Area,Bellagio,Ristorante Mistral,High-end dining with views.,2.5 hours
6. Lake Como Area,Varenna,Hosteria del Platano,Cozy local atmosphere.,1.5 hours
6. Lake Como Area,Lenno,Villa del Balbianello,Arrival by boat from Lenno.,3 hours
6. Lake Como Area,Lake Como,Varenna to Bellagio Ferry,Panoramic central lake views.,45 mins
7. Rome & Vatican City,Rome,Il Segreto,Authentic Roman pasta near the Vatican walls.,1.5 hours
7. Rome & Vatican City,Rome,Borghiciana Pastificio,Fresh handmade pasta.,1 hour
7. Rome & Vatican City,Vatican City,Vatican Museums,Book "Early Access" (8:00 AM) online.,3.5 hours
7. Rome & Vatican City,Vatican City,St. Peter's Basilica & Dome,Start with the dome at opening.,2.5 hours
7. Rome & Vatican City,Rome,Colosseum & Forum,Use 8:30 AM entry.,3 hours
8. Verona & Sirmione,Verona,Osteria Al Pompiere,Traditional Veronese meats.,2 hours
8. Verona & Sirmione,Sirmione,Trattoria Clementina,Fresh lake fish.,1.5 hours
8. Verona & Sirmione,Verona,Verona Arena,Exploring the Roman amphitheater.,1 hour
8. Verona & Sirmione,Sirmione,Grottoes of Catullus,Massive Roman ruins.,2 hours
9. Bologna & Modena,Bologna,Osteria dell'Orsa,Famous Tagliatelle al Ragù.,1.5 hours
9. Bologna & Modena,Bologna,Tamburini,Mortadella and local cheese platter.,1 hour
9. Bologna & Modena,Bologna,San Luca Portico,Walk under the 666 arches.,3 hours
9. Bologna & Modena,Modena,Enzo Ferrari Museum,History of the Prancing Horse.,1.5 hours
10. Tuscany,Siena,Osteria le Logge,Refined dishes in an old pharmacy.,2 hours
10. Tuscany,San Gimignano,Gelateria Dondoli,World-champion gelato.,20 mins
10. Tuscany,Siena,Siena Duomo,One of Italy's most ornate cathedrals.,1.5 hours
10. Tuscany,San Gimignano,San Gimignano Towers,Climb Torre Grossa.,1 hour
11. Pisa & Lucca,Lucca,Buca di Sant'Antonio,Historic rustic food.,2 hours
11. Pisa & Lucca,Pisa,Pisa Field of Miracles,Tower climb and Cathedral.,2 hours
11. Pisa & Lucca,Lucca,Lucca City Walls,Cycling/walking the 4km perimeter.,1.5 hours
12. Padua,Padua,Caffè Pedrocchi,Try the "Pedrocchi Coffee" (mint cream/cocoa).,45 mins
12. Padua,Padua,Scrovegni Chapel,Giotto's frescoes (must pre-book).,1 hour
12. Padua,Padua,Basilica of Saint Anthony,Byzantine-style domes.,1 hour
13. Vicenza,Vicenza,Angolo Palladio,Excellent local Vicentine cuisine.,1.5 hours
13. Vicenza,Vicenza,Teatro Olimpico,Oldest indoor theater in the world.,1 hour
13. Vicenza,Vicenza,Villa La Rotonda,Palladio's masterpiece.,1.5 hours
14. Parma,Parma,Trattoria del Tribunale,Famous for Torta Fritta and ham.,1.5 hours
14. Parma,Parma,Degusteria Romani,Guided Parmigiano tastings.,1 hour
14. Parma,Parma,Parma Baptistery,Pink marble and medieval frescoes.,45 mins
14. Parma,Parma,Teatro Farnese,Massive historic all-wood theater.,1 hour